Wall time,Step,Value
1765271553.2088146,0,0.03611840307712555
1765273004.0918972,10,0.12623701989650726
1765274454.6662738,20,0.16924914717674255
1765275911.1460044,30,0.1528807431459427
1765277360.4261153,40,0.08504214137792587
1765278820.7926433,50,0.03271261975169182
1765280274.9036996,60,0.022369682788848877
1765281730.591885,70,0.023860909044742584
1765283192.8806982,80,0.02907109633088112
1765284649.212418,90,0.036497700959444046
1765286110.9489708,100,0.044515326619148254
1765287555.9029324,110,0.05196399986743927
1765289001.7749007,120,0.058436546474695206
1765290446.9568408,130,0.06412819027900696
1765291893.6316335,140,0.0695740357041359
1765293346.530581,150,0.07401163876056671
1765294793.5022233,160,0.07724619656801224
1765296237.1391084,170,0.0790666714310646
1765297684.5044413,180,0.08039914071559906
1765299129.9924567,190,0.08099652826786041
1765300584.9919195,200,0.0811040848493576
1765302030.7113342,210,0.08063466101884842
1765303478.6484067,220,0.07942415028810501
1765304926.2508616,230,0.07862123101949692
1765306374.8423526,240,0.07753238826990128
1765307830.3380108,250,0.07650349289178848
1765309280.0523055,260,0.07593277096748352
1765310725.898185,270,0.0751638412475586
1765312175.4267619,280,0.07454352080821991
1765313622.8747876,290,0.07407111674547195
1765314978.7853584,299,0.07384461909532547
